Deal_ID,Date,Year,Month,Quarter,Region,Category,Channel,Segment,Sales_Rep,Status,Revenue,Cost,Profit,Profit_Margin,Units_Sold,Customer_Satisfaction
DL-00037,2022-10-12,2022,10,Q4,North America,Hardware,Direct,Startup,Rep_09,Closed Won,10332.88,7649.23,2683.65,25.97,1,2.7
DL-00038,2022-06-09,2022,6,Q2,North America,Software,Direct,Enterprise,Rep_08,Closed Won,34063.92,15454.04,18609.88,54.63,1,4.0
DL-00039,2022-08-09,2022,8,Q3,Asia Pacific,Consulting,Partner,Enterprise,Rep_18,Closed Won,43330.98,28453.93,14877.05,34.33,1,3.5
DL-00040,2022-12-11,2022,12,Q4,Europe,Electronics,Direct,Enterprise,Rep_18,Closed Won,15471.57,6190.85,9280.72,59.99,1,4.3
DL-00041,2022-04-15,2022,4,Q2,North America,Hardware,Partner,Enterprise,Rep_13,On Hold,9274.07,5644.79,3629.28,,1,3.7
DL-00042,2022-04-05,2022,4,Q2,Europe,Hardware,Partner,Startup,Rep_18,On Hold,9243.8,6660.9,2582.9,27.94,1,2.6
DL-00043,2023-01-25,2023,1,Q1,North America,Hardware,Online,SMB,Rep_15,Closed Won,5837.49,2923.28,2914.21,49.92,1,2.6
DL-00044,2022-04-10,2022,4,Q2,Latin America,Hardware,Online,SMB,Rep_04,Closed Won,3321.49,1544.27,1777.22,53.51,1,3.8
DL-00045,2023-01-03,2023,1,Q1,North America,Hardware,Partner,Mid-Market,Rep_17,Closed Won,4348.58,2731.29,1617.29,37.19,1,3.2
DL-00046,2022-12-19,2022,12,Q4,Asia Pacific,Services,Direct,Enterprise,Rep_05,Closed Won,9492.16,6164.31,3327.85,35.06,1,3.4
DL-00047,2023-09-11,2023,9,Q3,North America,Electronics,Direct,SMB,Rep_16,On Hold,10121.35,6485.87,3635.48,35.92,1,4.6
DL-00048,2022-09-28,2022,9,Q3,Europe,Electronics,Direct,SMB,Rep_09,Closed Won,10133.05,5185.7,4947.35,48.82,1,4.4
DL-00049,2022-02-14,2022,2,Q1,Europe,Consulting,Direct,SMB,Rep_10,In Progress,73760.47,36015.09,37745.38,51.17,3,5.0
DL-00050,2023-04-16,2023,4,Q2,North America,Services,Direct,Startup,Rep_18,Closed Won,15364.08,11286.02,4078.06,26.54,1,3.5
DL-00051,2023-07-04,2023,7,Q3,Middle East,Hardware,Direct,Mid-Market,Rep_17,On Hold,7052.65,5100.16,1952.49,27.68,1,3.3
DL-00052,2022-05-08,2022,5,Q2,Asia Pacific,Software,Reseller,SMB,Rep_18,Closed Won,34984.09,19593.22,15390.87,43.99,1,4.1
DL-00053,2023-01-23,2023,1,Q1,Middle East,Electronics,Partner,Mid-Market,Rep_07,In Progress,12157.13,8463.4,3693.73,30.38,1,3.4
DL-00054,2022-03-22,2022,3,Q1,Latin America,Electronics,Direct,Enterprise,Rep_04,Closed Won,15853.84,8851.41,7002.43,44.17,1,3.4
DL-00055,2023-07-20,2023,7,Q3,Europe,Services,Partner,Enterprise,Rep_05,Closed Lost,12470.92,6840.75,5630.17,45.15,1,3.6
DL-00056,2022-10-28,2022,10,Q4,Middle East,Software,Direct,Enterprise,Rep_16,Closed Won,20288.88,9228.74,11060.14,54.51,1,5.0
DL-00057,2023-10-06,2023,10,Q4,North America,Electronics,Partner,Enterprise,Rep_03,Closed Won,10648.56,5848.64,4799.92,45.08,1,4.4
DL-00058,2023-09-26,2023,9,Q3,North America,Software,Partner,SMB,Rep_18,On Hold,46101.33,27112.0,18989.33,41.19,2,4.4
DL-00059,2023-01-06,2023,1,Q1,North America,Electronics,Partner,SMB,Rep_14,On Hold,20391.27,8317.12,12074.15,59.21,1,5.0
DL-00060,2023-08-15,2023,8,Q3,North America,Services,Partner,Startup,Rep_15,In Progress,3239.05,1799.1,1439.95,44.46,1,4.5
DL-00061,2022-07-16,2022,7,Q3,Europe,Electronics,Reseller,SMB,Rep_17,Closed Lost,10740.08,7233.17,3506.91,32.65,1,2.9
DL-00062,2023-12-23,2023,12,Q4,North America,Hardware,Reseller,SMB,Rep_01,In Progress,5413.01,3453.59,1959.42,36.2,1,4.5
DL-00063,2022-03-13,2022,3,Q1,Latin America,Software,Partner,Enterprise,Rep_17,Closed Won,18325.74,11404.2,6921.54,37.77,1,4.6
DL-00064,2022-02-16,2022,2,Q1,Europe,Software,Partner,Enterprise,Rep_11,Closed Won,38477.63,27640.19,10837.44,28.17,1,4.3
DL-00065,2023-11-09,2023,11,Q4,North America,Electronics,Partner,SMB,Rep_17,Closed Won,15144.74,6153.48,8991.26,59.37,1,
DL-00066,2022-08-22,2022,8,Q3,Europe,Electronics,Direct,SMB,Rep_14,Closed Lost,7487.5,4454.81,3032.69,40.5,1,4.2
DL-00067,2022-10-24,2022,10,Q4,North America,Software,Direct,Mid-Market,Rep_20,Closed Won,20640.77,13944.33,6696.44,32.44,1,3.8
DL-00068,2022-03-23,2022,3,Q1,Latin America,Software,Direct,Enterprise,Rep_19,Closed Won,32777.58,19321.31,13456.27,41.05,1,3.0
DL-00069,2022-08-27,2022,8,Q3,North America,Services,Partner,Enterprise,Rep_07,Closed Lost,8959.93,4599.7,4360.23,48.66,1,3.2
DL-00070,2022-04-14,2022,4,Q2,Middle East,Electronics,Partner,SMB,Rep_13,In Progress,10866.8,4864.93,6001.87,55.23,1,4.4
DL-00071,2023-01-25,2023,1,Q1,Asia Pacific,Services,Direct,Enterprise,Rep_18,Closed Won,11801.12,8386.43,3414.69,28.94,1,3.1
DL-00072,2022-10-12,2022,10,Q4,North America,Hardware,Reseller,Enterprise,Rep_14,Closed Won,17967.02,10147.18,7819.84,43.52,2,3.2
DL-00073,2023-04-10,2023,4,Q2,North America,Hardware,Reseller,Mid-Market,Rep_01,Closed Won,10075.98,7127.15,2948.83,29.27,1,4.4
DL-00074,2023-10-13,2023,10,Q4,Latin America,Electronics,Online,Enterprise,Rep_07,Closed Won,28746.64,17393.1,11353.54,39.5,2,3.9
DL-00075,2023-01-09,2023,1,Q1,Asia Pacific,Software,Partner,SMB,Rep_08,Closed Won,18728.92,11910.98,6817.94,36.4,1,4.3
DL-00076,2022-06-16,2022,6,Q2,Asia Pacific,Electronics,Reseller,Enterprise,Rep_18,Closed Lost,14937.42,10179.72,4757.7,31.85,1,2.8
DL-00077,2023-01-15,2023,1,Q1,Asia Pacific,Electronics,Direct,Enterprise,Rep_09,Closed Lost,14787.38,9326.47,5460.91,36.93,1,4.2
DL-00078,2022-12-30,2022,12,Q4,North America,Consulting,Online,SMB,Rep_01,Closed Lost,31834.06,17168.72,14665.34,46.07,1,3.3
DL-00079,2022-08-03,2022,8,Q3,Europe,Electronics,Direct,Mid-Market,Rep_17,Closed Won,18696.01,10839.42,7856.59,42.02,1,3.0
DL-00080,2023-11-18,2023,11,Q4,North America,Software,Online,SMB,Rep_19,In Progress,15790.23,10754.19,5036.04,31.89,1,3.4
DL-00081,2022-10-01,2022,10,Q4,Latin America,Services,Direct,Mid-Market,Rep_06,Closed Won,13821.86,7336.33,6485.53,46.92,1,4.9
DL-00082,2023-12-20,2023,12,Q4,Asia Pacific,Services,Reseller,Enterprise,Rep_03,Closed Lost,4431.07,2374.36,2056.71,46.42,1,3.5
DL-00083,2023-12-01,2023,12,Q4,North America,Services,Reseller,Mid-Market,Rep_05,In Progress,5127.95,2222.92,2905.03,56.65,1,5.0
DL-00084,2023-10-26,2023,10,Q4,North America,Electronics,Direct,Enterprise,Rep_02,Closed Won,43635.16,31421.88,12213.28,27.99,3,2.2
DL-00085,2022-03-15,2022,3,Q1,North America,Software,Partner,Mid-Market,Rep_20,Closed Won,19371.74,8365.93,11005.81,56.81,1,2.6
DL-00086,2023-09-16,2023,9,Q3,North America,Software,Reseller,SMB,Rep_04,In Progress,36004.2,22570.07,13434.13,37.31,1,4.9
DL-00087,2023-10-13,2023,10,Q4,Asia Pacific,Electronics,Partner,Startup,Rep_10,Closed Won,35064.72,19096.88,15967.84,45.54,2,5.0
DL-00088,2022-06-25,2022,6,Q2,Asia Pacific,Software,Reseller,SMB,Rep_10,Closed Lost,7858.91,4259.27,3599.64,45.8,1,3.1
DL-00089,2023-07-01,2023,7,Q3,Latin America,Electronics,Partner,Enterprise,Rep_11,Closed Won,26342.23,16802.21,9540.02,36.22,2,3.9
DL-00090,2022-09-08,2022,9,Q3,Europe,Electronics,Direct,Enterprise,Rep_16,Closed Lost,20749.5,8787.06,11962.44,57.65,1,4.4
DL-00091,2022-06-17,2022,6,Q2,North America,Software,Direct,Mid-Market,Rep_17,Closed Won,56773.77,34506.93,22266.84,39.22,2,3.6
DL-00092,2023-04-19,2023,4,Q2,Asia Pacific,Electronics,Direct,SMB,Rep_16,Closed Won,8308.58,5568.5,2740.08,32.98,1,3.9
DL-00093,2023-01-24,2023,1,Q1,Asia Pacific,Services,Online,Mid-Market,Rep_07,Closed Lost,20660.27,14252.99,6407.28,31.01,2,3.8
DL-00094,2022-10-04,2022,10,Q4,Europe,Services,Direct,Enterprise,Rep_16,Closed Won,6909.37,3176.14,3733.23,54.03,1,2.6
DL-00095,2023-10-18,2023,10,Q4,Asia Pacific,Hardware,Partner,Enterprise,Rep_03,Closed Won,13556.02,9680.31,3875.71,28.59,2,3.5
DL-00096,2023-12-06,2023,12,Q4,Europe,Electronics,Partner,Enterprise,Rep_16,Closed Won,14732.26,9276.18,5456.08,37.03,1,3.8
DL-00097,2023-07-25,2023,7,Q3,Europe,Electronics,Partner,Startup,Rep_08,Closed Won,22052.69,15627.62,6425.07,29.14,1,3.9
DL-00098,2022-08-13,2022,8,Q3,Europe,Electronics,Reseller,Mid-Market,Rep_12,Closed Won,15371.03,8759.15,6611.88,43.02,1,2.4
DL-00099,2023-12-03,2023,12,Q4,North America,Services,Reseller,Startup,Rep_03,Closed Won,3986.38,2350.81,1635.57,41.03,1,4.4
DL-00100,2022-11-29,2022,11,Q4,North America,Services,Partner,Enterprise,Rep_17,On Hold,2100.79,1516.06,584.73,27.83,1,3.9
DL-00101,2022-02-27,2022,2,Q1,North America,Electronics,Online,SMB,Rep_18,Closed Won,16659.96,11911.34,4748.62,,1,3.0
DL-00102,2022-08-23,2022,8,Q3,Asia Pacific,Consulting,Online,Mid-Market,Rep_11,Closed Lost,26293.71,14641.82,11651.89,44.31,1,5.0
DL-00103,2022-02-02,2022,2,Q1,North America,Electronics,Partner,Enterprise,Rep_04,Closed Won,18304.75,9079.97,9224.78,50.4,1,3.5
DL-00104,2022-11-20,2022,11,Q4,Europe,Software,Reseller,Mid-Market,Rep_16,Closed Won,22038.68,11848.21,10190.47,46.24,1,3.6
DL-00105,2023-02-15,2023,2,Q1,Latin America,Services,Direct,Startup,Rep_17,On Hold,27429.63,14694.53,12735.1,46.43,3,4.3
DL-00106,2022-10-02,2022,10,Q4,North America,Hardware,Direct,Mid-Market,Rep_09,Closed Won,8977.4,4492.32,4485.08,49.96,1,5.0
DL-00107,2022-03-09,2022,3,Q1,Europe,Services,Reseller,Mid-Market,Rep_06,On Hold,7997.36,3950.72,4046.64,50.6,1,4.3
DL-00108,2022-08-05,2022,8,Q3,Asia Pacific,Hardware,Partner,Enterprise,Rep_20,Closed Won,9469.94,6641.95,2827.99,29.86,1,4.5
DL-00109,2023-08-04,2023,8,Q3,North America,Software,Online,Enterprise,Rep_02,In Progress,20176.9,8564.12,11612.78,57.55,1,3.0
DL-00110,2022-11-19,2022,11,Q4,North America,Hardware,Reseller,Startup,Rep_09,Closed Lost,8380.49,5339.75,3040.74,36.28,1,3.9
DL-00111,2022-08-06,2022,8,Q3,North America,Electronics,Direct,Enterprise,Rep_06,In Progress,8160.54,3757.82,4402.72,53.95,1,3.4
DL-00112,2023-11-03,2023,11,Q4,North America,Hardware,Reseller,Mid-Market,Rep_03,Closed Lost,7965.73,4146.78,3818.95,47.94,1,4.4
DL-00113,2023-05-27,2023,5,Q2,Middle East,Software,Partner,Mid-Market,Rep_20,Closed Lost,19686.82,8298.78,11388.04,57.85,1,4.4
DL-00114,2023-02-10,2023,2,Q1,Latin America,Hardware,Partner,SMB,Rep_06,Closed Won,4563.42,2256.57,2306.85,50.55,1,5.0
DL-00115,2023-10-21,2023,10,Q4,Asia Pacific,Software,Partner,Startup,Rep_07,Closed Won,67137.57,44911.5,22226.07,33.11,3,2.1
DL-00116,2023-04-15,2023,4,Q2,Latin America,Services,Reseller,Enterprise,Rep_01,On Hold,5816.61,4128.37,1688.24,29.02,1,3.3
DL-00117,2022-05-27,2022,5,Q2,Latin America,Software,Direct,Enterprise,Rep_01,Closed Won,25087.2,11980.0,13107.2,52.25,1,4.8
DL-00118,2022-09-29,2022,9,Q3,North America,Services,Partner,Enterprise,Rep_05,Closed Won,6693.8,3763.53,2930.27,43.78,1,2.7
DL-00119,2022-05-23,2022,5,Q2,Latin America,Electronics,Online,SMB,Rep_06,In Progress,17401.74,9825.26,7576.48,43.54,1,4.4
DL-00120,2022-09-10,2022,9,Q3,Europe,Electronics,Online,Enterprise,Rep_13,Closed Won,7931.62,5597.75,2333.87,29.42,1,4.7
DL-00121,2023-07-29,2023,7,Q3,Latin America,Electronics,Online,Enterprise,Rep_02,On Hold,22833.5,15229.48,7604.02,33.3,1,3.8
DL-00122,2023-07-06,2023,7,Q3,Latin America,Electronics,Direct,Mid-Market,Rep_15,In Progress,41518.05,24062.91,17455.14,42.04,3,2.7
DL-00123,2022-09-27,2022,9,Q3,North America,Hardware,Direct,Startup,Rep_15,Closed Lost,5257.59,3337.32,1920.27,36.52,1,3.7
DL-00124,2023-08-22,2023,8,Q3,North America,Electronics,Direct,Enterprise,Rep_13,In Progress,27564.66,19200.83,8363.83,30.34,2,5.0
DL-00125,2023-03-15,2023,3,Q1,North America,Consulting,Online,SMB,Rep_14,Closed Won,24785.47,9996.94,14788.53,59.67,1,5.0
DL-00126,2023-08-21,2023,8,Q3,Europe,Software,Direct,Startup,Rep_07,Closed Won,53078.47,28716.06,24362.41,45.9,2,4.0
DL-00127,2023-02-13,2023,2,Q1,Latin America,Electronics,Direct,Enterprise,Rep_14,Closed Lost,44804.1,32148.51,12655.59,28.25,3,3.0
DL-00128,2023-01-06,2023,1,Q1,Latin America,Hardware,Reseller,Enterprise,Rep_10,Closed Won,7117.73,4691.36,2426.37,34.09,1,5.0
DL-00129,2022-08-13,2022,8,Q3,North America,Services,Direct,Enterprise,Rep_17,In Progress,4676.04,2758.84,1917.2,41.0,1,4.5
DL-00130,2022-05-22,2022,5,Q2,Europe,Software,Reseller,SMB,Rep_14,On Hold,40161.87,23509.78,16652.09,41.46,2,3.1
DL-00131,2023-06-06,2023,6,Q2,Europe,Services,Online,Enterprise,Rep_08,Closed Won,11187.46,5836.72,5350.74,47.83,1,4.1
DL-00132,2023-05-21,2023,5,Q2,North America,Services,Online,Startup,Rep_04,Closed Won,12851.76,7482.07,5369.69,41.78,1,4.0
DL-00133,2022-04-04,2022,4,Q2,North America,Electronics,Direct,SMB,Rep_16,On Hold,12655.95,7965.45,4690.5,37.06,1,3.3
DL-00134,2022-02-18,2022,2,Q1,North America,Consulting,Direct,SMB,Rep_13,Closed Won,19277.74,10533.88,8743.86,45.36,1,4.1
DL-00135,2022-04-23,2022,4,Q2,Middle East,Consulting,Online,Enterprise,Rep_20,Closed Lost,53590.48,34831.33,18759.15,35.0,2,4.7
DL-00136,2022-06-06,2022,6,Q2,North America,Services,Online,SMB,Rep_18,Closed Won,11733.88,8230.51,3503.37,29.86,1,3.6
DL-00137,2023-10-05,2023,10,Q4,Europe,Electronics,Online,Mid-Market,Rep_14,On Hold,7288.31,3309.91,3978.4,54.59,1,4.8
DL-00138,2022-06-13,2022,6,Q2,Asia Pacific,Services,Direct,Mid-Market,Rep_18,Closed Lost,14097.86,7867.19,6230.67,44.2,1,2.4
DL-00139,2023-11-28,2023,11,Q4,Europe,Electronics,Online,Mid-Market,Rep_05,In Progress,19127.64,10382.62,8745.02,45.72,1,5.0
DL-00140,2023-03-09,2023,3,Q1,Middle East,Electronics,Online,SMB,Rep_09,In Progress,12748.34,8166.75,4581.59,35.94,1,3.8
DL-00141,2023-09-03,2023,9,Q3,Middle East,Electronics,Online,Startup,Rep_03,Closed Won,33715.47,16434.73,17280.74,51.25,2,4.7
DL-00142,2022-03-07,2022,3,Q1,North America,Software,Online,Mid-Market,Rep_08,Closed Won,18352.93,11453.84,6899.09,37.59,1,4.0
DL-00143,2023-01-30,2023,1,Q1,Europe,Hardware,Online,Mid-Market,Rep_20,In Progress,7351.82,5198.63,2153.19,29.29,1,3.1
DL-00144,2023-01-26,2023,1,Q1,North America,Services,Partner,Enterprise,Rep_10,Closed Won,14686.21,8023.75,6662.46,45.37,1,3.8
DL-00145,2023-09-03,2023,9,Q3,North America,Services,Direct,Enterprise,Rep_19,In Progress,10391.28,7469.83,2921.45,28.11,1,2.3
DL-00146,2023-04-25,2023,4,Q2,North America,Software,Partner,Enterprise,Rep_03,On Hold,12511.7,9353.84,3157.86,25.24,1,4.4
DL-00147,2023-06-26,2023,6,Q2,Asia Pacific,Software,Direct,Mid-Market,Rep_11,Closed Lost,27406.37,11980.21,15426.16,56.29,1,4.0
DL-00148,2022-09-15,2022,9,Q3,Europe,Software,Partner,SMB,Rep_11,In Progress,20321.53,9786.21,10535.32,51.84,1,3.6
DL-00149,2023-07-21,2023,7,Q3,North America,Consulting,Partner,SMB,Rep_17,In Progress,46048.51,33736.65,12311.86,26.74,1,4.4
DL-00150,2022-01-12,2022,1,Q1,North America,Electronics,Direct,Mid-Market,Rep_16,In Progress,16178.11,11897.62,4280.49,26.46,1,3.8
DL-00151,2023-11-28,2023,11,Q4,Latin America,Hardware,Direct,Mid-Market,Rep_07,Closed Won,8387.1,3641.66,4745.44,56.58,1,4.3
DL-00152,2022-04-28,2022,4,Q2,North America,Services,Direct,Startup,Rep_04,Closed Won,5920.73,2399.37,3521.36,59.48,1,4.6
DL-00153,2023-11-30,2023,11,Q4,North America,Software,Online,Enterprise,Rep_19,Closed Won,22283.87,10170.02,12113.85,54.36,1,3.4
DL-00154,2023-07-04,2023,7,Q3,Europe,Services,Reseller,Mid-Market,Rep_12,Closed Lost,16242.57,12159.26,4083.31,25.14,2,3.1
DL-00155,2022-10-01,2022,10,Q4,Middle East,Software,Direct,Enterprise,Rep_15,Closed Lost,16955.76,7850.51,9105.25,53.7,1,2.4
DL-00156,2023-10-19,2023,10,Q4,North America,Hardware,Reseller,Enterprise,Rep_11,In Progress,7870.85,4532.76,3338.09,42.41,1,3.9
DL-00157,2022-12-15,2022,12,Q4,Asia Pacific,Consulting,Partner,Enterprise,Rep_05,Closed Won,18783.42,13091.03,5692.39,30.31,1,4.2
DL-00158,2022-04-25,2022,4,Q2,Asia Pacific,Software,Direct,Enterprise,Rep_05,Closed Lost,13831.58,5631.4,8200.18,59.29,1,2.7
DL-00159,2022-10-28,2022,10,Q4,North America,Electronics,Direct,SMB,Rep_15,Closed Won,14376.87,8792.48,5584.39,38.84,1,4.9
DL-00160,2023-03-22,2023,3,Q1,Asia Pacific,Services,Partner,Mid-Market,Rep_18,In Progress,10907.88,5420.77,5487.11,50.3,1,3.1
DL-00161,2022-06-11,2022,6,Q2,Europe,Consulting,Online,Enterprise,Rep_11,Closed Lost,81298.6,57056.76,24241.84,29.82,3,2.1
DL-00162,2023-04-10,2023,4,Q2,Asia Pacific,Electronics,Online,Mid-Market,Rep_12,Closed Won,11945.09,5963.13,5981.96,50.08,1,5.0
DL-00163,2022-01-04,2022,1,Q1,Asia Pacific,Services,Direct,SMB,Rep_02,Closed Won,9752.27,6245.01,3507.26,35.96,1,2.2
DL-00164,2022-09-27,2022,9,Q3,Europe,Services,,Enterprise,Rep_20,In Progress,5352.42,3404.02,1948.4,36.4,1,4.6
DL-00165,2023-05-28,2023,5,Q2,North America,Services,Partner,SMB,Rep_15,Closed Lost,13581.45,6485.45,7096.0,52.25,1,4.4
DL-00166,2022-07-02,2022,7,Q3,Latin America,Electronics,Direct,Enterprise,Rep_20,Closed Won,18303.6,7544.37,10759.23,58.78,1,4.1
DL-00167,2023-06-04,2023,6,Q2,North America,Services,Direct,SMB,Rep_04,On Hold,21047.51,11433.79,9613.72,45.68,2,3.4
DL-00168,2022-04-19,2022,4,Q2,North America,Consulting,Direct,SMB,Rep_18,In Progress,52300.63,26214.0,26086.63,49.88,2,4.2
DL-00169,2023-10-03,2023,10,Q4,North America,Electronics,Online,Enterprise,Rep_06,On Hold,17881.27,12215.45,5665.82,31.69,1,4.6
DL-00170,2022-11-02,2022,11,Q4,Europe,Electronics,Reseller,Enterprise,Rep_19,Closed Won,11858.14,8065.05,3793.09,31.99,1,3.0
DL-00171,2023-10-17,2023,10,Q4,Asia Pacific,Consulting,Partner,SMB,Rep_11,Closed Lost,33232.61,18608.88,14623.73,44.0,1,4.6
DL-00172,2023-06-04,2023,6,Q2,North America,Electronics,Reseller,Startup,Rep_02,In Progress,14190.08,8688.29,5501.79,38.77,1,4.5
DL-00173,2023-09-16,2023,9,Q3,Europe,Hardware,Direct,Enterprise,Rep_08,Closed Lost,12885.99,7879.66,5006.33,38.85,2,4.0
DL-00174,2022-07-23,2022,7,Q3,North America,Software,Partner,Mid-Market,Rep_11,In Progress,37788.0,26055.03,11732.97,31.05,1,3.4
DL-00175,2022-06-06,2022,6,Q2,Asia Pacific,Electronics,Direct,Mid-Market,Rep_05,Closed Won,12933.78,7097.42,5836.36,45.12,1,4.5
DL-00176,2023-01-18,2023,1,Q1,North America,Hardware,Partner,Startup,Rep_18,Closed Won,3851.43,1911.87,1939.56,50.36,1,4.2
DL-00177,2022-06-15,2022,6,Q2,Asia Pacific,Software,Reseller,Mid-Market,Rep_18,Closed Won,48694.66,23994.89,24699.77,50.72,2,3.0
DL-00178,2023-07-07,2023,7,Q3,Europe,Software,Partner,SMB,Rep_14,Closed Won,33442.01,19652.78,13789.23,41.23,1,3.5
DL-00179,2023-06-28,2023,6,Q2,Middle East,Software,Direct,Mid-Market,Rep_10,Closed Won,21309.03,11873.43,9435.6,44.28,1,4.5
